length	total_percentage	start_percentage	around_start	offset_from_5	offset_from_3	corrected_offset_from_5	corrected_offset_from_3	sample
24	2.969	2.995	T	8	15	8	15	Omh63_leaf_Ribo_B1_R1
25	9.21	7.957	T	9	15	9	15	Omh63_leaf_Ribo_B1_R1
26	16.319	15.35	T	10	15	10	15	Omh63_leaf_Ribo_B1_R1
27	29.905	27.806	T	11	15	11	15	Omh63_leaf_Ribo_B1_R1
28	37.23	41.095	T	12	15	12	15	Omh63_leaf_Ribo_B1_R1
29	4.071	4.559	T	12	16	12	16	Omh63_leaf_Ribo_B1_R1
30	0.297	0.238	T	13	16	13	16	Omh63_leaf_Ribo_B1_R1
24	1.199	0.957	T	8	15	10	13	Omh63_leaf_Ribo_B2_R1
25	5.685	3.824	T	9	15	9	15	Omh63_leaf_Ribo_B2_R1
26	14.114	11.299	T	10	15	10	15	Omh63_leaf_Ribo_B2_R1
27	25.988	22.86	T	11	15	8	18	Omh63_leaf_Ribo_B2_R1
28	39.677	45.099	T	9	18	9	18	Omh63_leaf_Ribo_B2_R1
29	12.438	15.081	T	12	16	9	19	Omh63_leaf_Ribo_B2_R1
30	0.899	0.881	T	13	16	9	20	Omh63_leaf_Ribo_B2_R1
24	5.332	5.252	T	8	15	8	15	Omh63_panicle_Ribo_B1_R1
25	15.272	14.658	T	9	15	9	15	Omh63_panicle_Ribo_B1_R1
26	24.917	24.703	T	10	15	10	15	Omh63_panicle_Ribo_B1_R1
27	36.586	34.75	T	11	15	11	15	Omh63_panicle_Ribo_B1_R1
28	17.415	20.101	T	12	15	12	15	Omh63_panicle_Ribo_B1_R1
29	0.38	0.439	T	12	16	12	16	Omh63_panicle_Ribo_B1_R1
30	0.098	0.097	T	9	20	14	15	Omh63_panicle_Ribo_B1_R1
24	5.247	5.319	T	8	15	8	15	Omh63_panicle_Ribo_B1_R2
25	14.987	14.749	T	9	15	9	15	Omh63_panicle_Ribo_B1_R2
26	24.547	23.39	T	10	15	10	15	Omh63_panicle_Ribo_B1_R2
27	36.898	35.871	T	11	15	11	15	Omh63_panicle_Ribo_B1_R2
28	17.835	20.195	T	12	15	12	15	Omh63_panicle_Ribo_B1_R2
29	0.388	0.383	T	12	16	12	16	Omh63_panicle_Ribo_B1_R2
30	0.098	0.094	T	12	17	15	14	Omh63_panicle_Ribo_B1_R2
24	7.719	7.734	T	8	15	8	15	Omh63_root_Ribo_B1_R1
25	17.238	16.306	T	9	15	9	15	Omh63_root_Ribo_B1_R1
26	26.316	26.316	T	10	15	10	15	Omh63_root_Ribo_B1_R1
27	36.233	35.088	T	11	15	11	15	Omh63_root_Ribo_B1_R1
28	11.877	13.912	T	12	15	12	15	Omh63_root_Ribo_B1_R1
29	0.563	0.575	T	12	16	12	16	Omh63_root_Ribo_B1_R1
30	0.055	0.068	T	8	21	13	16	Omh63_root_Ribo_B1_R1
24	7.141	7.152	T	8	15	8	15	Omh63_root_Ribo_B1_R2
25	16.592	15.54	T	9	15	9	15	Omh63_root_Ribo_B1_R2
26	26.162	26.015	T	10	15	10	15	Omh63_root_Ribo_B1_R2
27	36.968	35.89	T	11	15	11	15	Omh63_root_Ribo_B1_R2
28	12.478	14.652	T	12	15	12	15	Omh63_root_Ribo_B1_R2
29	0.6	0.693	T	12	16	12	16	Omh63_root_Ribo_B1_R2
30	0.058	0.057	T	12	17	15	14	Omh63_root_Ribo_B1_R2
24	4.271	3.43	T	8	15	8	15	Omh63_root_Ribo_B2_R1
25	14.138	12.627	T	9	15	9	15	Omh63_root_Ribo_B2_R1
26	24.459	24.2	T	10	15	10	15	Omh63_root_Ribo_B2_R1
27	37.738	37.451	T	11	15	11	15	Omh63_root_Ribo_B2_R1
28	18.391	21.884	T	12	15	12	15	Omh63_root_Ribo_B2_R1
29	0.76	0.334	T	22	6	12	16	Omh63_root_Ribo_B2_R1
30	0.243	0.074	T	NA	NA	11	18	Omh63_root_Ribo_B2_R1
24	1.412	1.21	T	11	12	8	15	Osy63_leaf_Ribo_B1_R1
25	4.72	4.636	T	9	15	9	15	Osy63_leaf_Ribo_B1_R1
26	13.81	12.215	T	10	15	10	15	Osy63_leaf_Ribo_B1_R1
27	29.918	27.101	T	11	15	11	15	Osy63_leaf_Ribo_B1_R1
28	43.649	47.154	T	12	15	12	15	Osy63_leaf_Ribo_B1_R1
29	5.963	7.342	T	12	16	12	16	Osy63_leaf_Ribo_B1_R1
30	0.528	0.341	T	13	16	13	16	Osy63_leaf_Ribo_B1_R1
24	2.299	1.939	T	8	15	8	15	Osy63_leaf_Ribo_B2_R1
25	9.336	6.226	T	9	15	9	15	Osy63_leaf_Ribo_B2_R1
26	17.873	14.561	T	10	15	10	15	Osy63_leaf_Ribo_B2_R1
27	28.942	27.637	T	11	15	11	15	Osy63_leaf_Ribo_B2_R1
28	34.492	42.641	T	12	15	12	15	Osy63_leaf_Ribo_B2_R1
29	6.573	6.634	T	12	16	12	16	Osy63_leaf_Ribo_B2_R1
30	0.486	0.362	T	13	16	13	16	Osy63_leaf_Ribo_B2_R1
24	5.571	4.589	T	8	15	8	15	Osy63_panicle_Ribo_B1_R1
25	18.723	14.875	T	9	15	9	15	Osy63_panicle_Ribo_B1_R1
26	25.479	23.413	T	10	15	10	15	Osy63_panicle_Ribo_B1_R1
27	34.206	35.368	T	11	15	11	15	Osy63_panicle_Ribo_B1_R1
28	15.729	21.204	T	12	15	12	15	Osy63_panicle_Ribo_B1_R1
29	0.259	0.472	T	12	16	12	16	Osy63_panicle_Ribo_B1_R1
30	0.033	0.079	T	NA	NA	14	15	Osy63_panicle_Ribo_B1_R1
24	6.114	5.463	T	8	15	8	15	Osy63_panicle_Ribo_B1_R2
25	19.125	14.867	T	9	15	9	15	Osy63_panicle_Ribo_B1_R2
26	25.316	23.488	T	10	15	10	15	Osy63_panicle_Ribo_B1_R2
27	33.61	35.275	T	11	15	11	15	Osy63_panicle_Ribo_B1_R2
28	15.532	20.488	T	12	15	12	15	Osy63_panicle_Ribo_B1_R2
29	0.27	0.361	T	12	16	12	16	Osy63_panicle_Ribo_B1_R2
30	0.032	0.058	T	16	13	16	13	Osy63_panicle_Ribo_B1_R2
24	12.191	10.803	T	8	15	8	15	Osy63_root_Ribo_B1_R1
25	22.182	21.847	T	9	15	9	15	Osy63_root_Ribo_B1_R1
26	29.631	30.677	T	10	15	10	15	Osy63_root_Ribo_B1_R1
27	31.411	31.298	T	11	15	11	15	Osy63_root_Ribo_B1_R1
28	4.434	5.142	T	12	15	12	15	Osy63_root_Ribo_B1_R1
29	0.125	0.217	T	13	15	13	15	Osy63_root_Ribo_B1_R1
30	0.026	0.015	T	NA	NA	11	18	Osy63_root_Ribo_B1_R1
24	11.749	10.351	T	8	15	8	15	Osy63_root_Ribo_B1_R2
25	21.662	21.342	T	9	15	9	15	Osy63_root_Ribo_B1_R2
26	29.714	30.148	T	10	15	10	15	Osy63_root_Ribo_B1_R2
